id,denekId,sayac,yatirim,rakip,secim,secimsure,kazanc,toplam,PE_raw,V_value,PE_normalized,group
4245,10091,17,1,1,1,843,60,740,2.528696411332408,3.471303588667592,0.7970166398238803,0
4246,10091,18,1,1,1,858,60,800,1.7351455011579109,4.264854498842089,0.5335302170002569,0
4247,10091,19,1,1,1,952,60,860,1.190625294794538,4.809374705205462,0.35273062432091984,0
4248,10091,20,1,0,1,1076,0,860,-5.18301457044462,5.18301457044462,-1.7635388511795533,0
4249,10091,21,1,1,1,796,60,920,2.443509638389455,3.556490361610545,0.7687316768973159,0
4250,10091,22,1,0,1,702,0,920,-4.323308113585127,4.323308113585127,-1.4780864925571318,0
4251,10091,23,1,1,1,780,60,980,3.033424578059951,2.966575421940049,0.9646038953411377,0
4252,10091,24,1,0,1,593,0,980,-3.9185192077094078,3.9185192077094078,-1.3436825375740438,0
4253,10091,25,1,1,1,982,60,1040,3.311183365473581,2.688816634526419,1.0568294455422602,0
4254,10091,26,1,0,1,1014,0,1040,-3.727926177945946,3.727926177945946,-1.280399041854219,0
4255,10091,27,1,0,1,390,0,1040,-2.5580351628305458,2.5580351628305458,-0.8919546525730427,0
4256,10091,28,0,1,1,764,20,1060,0.24472278099591271,1.7552772190040873,0.03865818548285211,0
4257,10091,29,1,1,1,421,60,1120,4.244722780995913,1.7552772190040873,1.3667969069956747,0
4258,10091,30,1,1,1,484,60,1180,2.9126515955415595,3.0873484044584405,0.9245030766923209,0
4259,10091,31,1,0,1,717,0,1180,-4.001391432441119,4.001391432441119,-1.3711989902250685,0
4260,10091,32,1,0,1,718,0,1180,-2.7456820483695976,2.7456820483695976,-0.9542599262369675,0
4261,10091,33,0,1,1,531,20,1200,0.11596289990057063,1.8840371000994294,-0.004094560482175557,0
4262,10091,34,0,1,1,530,20,1220,0.11596289990057063,1.8840371000994294,-0.004094560482175557,0
4263,10091,35,1,1,1,577,60,1280,4.115962899900571,1.8840371000994294,1.3240441610306468,0
4264,10091,36,1,0,1,468,0,1280,-3.1757010937773176,3.1757010937773176,-1.0970411625354608,0
4265,10091,37,1,1,1,967,60,1340,3.8208916494698912,2.1791083505301088,1.2260702727050987,0
4266,10091,38,1,1,1,687,60,1400,2.6218263791089766,3.3781736208910234,0.8279390189082058,0
4267,10091,39,1,0,1,483,0,1400,-4.20095040822595,4.20095040822595,-1.4374594909663867,0
4268,10091,40,1,1,1,593,60,1460,3.117384210791866,2.882615789208134,0.9924814051599505,0
4269,10091,41,1,0,1,655,0,1460,-3.860907634267545,3.860907634267545,-1.3245534972001896,0
4270,10091,42,1,0,1,967,0,1460,-2.6492846203137663,2.6492846203137663,-0.9222526370231685,0
4271,10091,43,0,1,1,702,20,1480,0.18210906235197188,1.8178909376480281,0.017868259425620325,0
4272,10091,44,1,1,1,1342,60,1540,4.182109062351972,1.8178909376480281,1.346006980938443,0
4273,10091,45,1,1,1,733,60,1600,2.869687200239335,3.130312799760665,0.910237407430504,0
4274,10091,46,1,1,1,655,60,1660,1.9691271806733184,4.030872819326682,0.6112202491725109,0
4275,10091,47,1,1,1,843,60,1720,1.3511792690656552,4.648820730934345,0.4060401118514809,0
4276,10091,48,1,1,1,858,60,1780,0.9271546475370513,5.072845352462949,0.26524923216974133,0
4277,10091,49,1,1,1,608,60,1840,0.6361966617826971,5.363803338217303,0.1686410903663078,0
4278,10091,50,1,1,1,1046,60,1900,0.43654658210325437,5.563453417896746,0.10235033997246076,0
4279,10091,51,1,1,1,484,60,1960,0.29955032742866905,5.700449672571331,0.05686283233857359,0
4280,10091,52,1,0,1,983,0,1960,-5.794454011688037,5.794454011688037,-1.9665579506234399,0
4281,10091,53,1,1,1,889,60,2020,2.023951010888972,3.976048989111028,0.6294236621152745,0
4282,10091,54,1,1,1,905,60,2080,1.3887983845627234,4.611201615437277,0.41853096284166075,0
